"","PlayerS","NAppearances","ArchetypeNames","ArchetypeCounts","URL"
"31","TSPJendrek",4,"Stoneblade; Esper Control; Grixis Monkey","2; 1; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-03#tspjendrek_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-10#tspjendrek_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-04-04#tspjendrek_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-super-qualifier-2021-07-26#tspjendrek_th_place"
"32","HouseOfManaMTG",4,"Amulet Titan","4","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-10#houseofmanamtg_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2021-05-04#houseofmanamtg_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-06-13#houseofmanamtg_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-09-20#houseofmanamtg_th_place"
"33","sokos13",4,"Infect; Grixis Monkey; Izzet Murktide","2; 1; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-21#sokos_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-05-26#sokos_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-08-02#sokos_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-15#sokos_th_place"
"34","_Batutinha_",4,"Reclaimer Titan; WURG Control; Izzet Prowess; Azorius Control","1; 1; 1; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-18#_batutinha__th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-super-qualifier-2021-01-24#_batutinha__th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-05-10#_batutinha__th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-12-05#_batutinha__th_place"
"35","MrRaeb",4,"UBRG Control; Heliod Combo; Taking Turns; Creativity Combo","1; 1; 1; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-18#mrraeb_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-22#mrraeb_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-07-12#mrraeb_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-08-16#mrraeb_th_place"
"36","Violent_Outburst",4,"BTL Scapeshift; 5 Color Turbo Tibalt; Creativity Combo; Dredge","1; 1; 1; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-super-qualifier-2021-01-19#violent_outburst_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-14#violent_outburst_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-super-qualifier-2021-07-26#violent_outburst_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-11-29#violent_outburst_nd_place"
"37","quinniac",4,"Burn","4","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-24#quinniac_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-21#quinniac_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-04-18#quinniac_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-08-22#quinniac_th_place"
"38","kefka27",4,"Izzet Prowess; Obosh Aggro; Izzet Murktide","1; 2; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-24#kefka_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-03-28#kefka_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-04-12#kefka_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-premier-2021-11-22#kefka_rd_place"
"39","Nammersquats",4,"Humans; Elementals; Azorius Control","1; 1; 2","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2021-01-31#nammersquats_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2021-08-01#nammersquats_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-premier-2021-10-16#nammersquats_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-premier-2021-10-25#nammersquats_rd_place"
"40","_Tia93_",4,"WURG Control; Izzet Murktide","1; 3","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-07#_tia__nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-06-28#_tia__nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-09-20#_tia__rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-10-10#_tia__th_place"
"41","nekonekoneko",4,"Shadow Prowess; Jund Shadow; Hammer Time","1; 2; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-08#nekonekoneko_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-super-qualifier-2021-04-06#nekonekoneko_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2021-05-15#nekonekoneko_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-premier-2021-10-16#nekonekoneko_th_place"
"42","SpiderSpace",4,"5 Color Turbo Tibalt; Asmo Food; Blue Living End; Reanimator","1; 1; 1; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2021-02-15#spiderspace_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-07-18#spiderspace_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-07-25#spiderspace_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-09-19#spiderspace_th_place"
