"","PlayerS","NAppearances","ArchetypeNames","ArchetypeCounts","URL"
"33","_Tia93_",4,"WURG Control; Izzet Murktide","1; 3","https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-02-0712258809#deck__Tia93_; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-06-2712309183#deck__Tia93_; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-09-1912340211#deck__Tia93_; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-10-0912345852#deck__Tia93_"
"34","Oscar_Franco",4,"Mill; Azorius Control; Jund Saga","1; 2; 1","https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-02-0712258815#deck_Oscar_Franco; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-02-2112263387#deck_Oscar_Franco; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-02-2812266376#deck_Oscar_Franco; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-08-2812333333#deck_Oscar_Franco"
"35","GodOfSlaughter",4,"Niv To Light; Izzet Murktide; Jund Saga","1; 1; 2","https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-04-0312280389#deck_GodOfSlaughter; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-09-1212337928#deck_GodOfSlaughter; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-09-2612342309#deck_GodOfSlaughter; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-10-2412349449#deck_GodOfSlaughter"
"36","scipios",4,"Hammer Time; Crabvine; Omnath Control; Yawgmoth","1; 1; 1; 1","https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-04-0412280395#deck_scipios; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-04-1812285852#deck_scipios; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-10-3012351480#deck_scipios; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-12-1912365701#deck_scipios"
"37","The_nayr",4,"Jund Shadow; Blue Living End; Izzet Prowess","1; 1; 2","https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-04-0412280395#deck_The_nayr; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-06-0512299469#deck_The_nayr; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-06-2612309177#deck_The_nayr; https://www.mtgo.com/en/mtgo/decklist/modern-showcase-challenge-2021-07-0312312057#deck_The_nayr"
"38","aspiringspike",4,"Grixis Control; Phoenix; Reanimator; Rakdos Midrange","1; 1; 1; 1","https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-04-1712285846#deck_aspiringspike; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-09-1812340205#deck_aspiringspike; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-10-2312349443#deck_aspiringspike; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-11-0612353483#deck_aspiringspike"
"39","Hamuda",4,"Hammer Time","4","https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-06-2012305278#deck_Hamuda; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-06-2712309183#deck_Hamuda; https://www.mtgo.com/en/mtgo/decklist/modern-showcase-challenge-2021-07-0312312057#deck_Hamuda; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-07-1012316091#deck_Hamuda"
"40","oskiyaa",4,"Mardu Shadow; Creativity Combo; Blue Living End; Izzet Murktide","1; 1; 1; 1","https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-06-2612309177#deck_oskiyaa; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-09-0412335533#deck_oskiyaa; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-09-1912340211#deck_oskiyaa; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-10-3012351480#deck_oskiyaa"
"41","MrCafouillette",4,"Jeskai Control; Azorius Control","3; 1","https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-08-0112323799#deck_MrCafouillette; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-09-1212337928#deck_MrCafouillette; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-11-2112357952#deck_MrCafouillette; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-12-0512361891#deck_MrCafouillette"
"42","D00mwake",4,"Temur Footfalls; WURG Footfalls","3; 1","https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-08-1412328700#deck_D00mwake; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-09-0412335533#deck_D00mwake; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-09-1112337922#deck_D00mwake; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-10-2312349443#deck_D00mwake"
